,	, ,
amis	JJ amis
amoi	NN amoi
amorf	JJ amorf
amor	NN amor
amortisasi	NN amortisasi
ampas	NN ampas
amplitudo	NN amplitudo
ampo	NN ampo
ampuh	JJ ampuh
ampul	NN ampul
ampunan	NN ampunan
ampun	NN ampun
amputasi	NN amputasi
amril	NN amril
amsal	NN amsal
amuba	NN amuba
amukan	NN amukan
anak-anakan	NN anak-anakan
anak	NN anak
ancaman	NN ancaman
andai	CC andai
andaikan	CC andaikan
andalan	NN andalan
andal	JJ andal
Anda	PR Anda
andil	NN andil
androgen	NN androgen
andrologi	NN andrologi
androlog	NN androlog
aneh	JJ aneh
aneka	DT aneka
aneksasi	NN aneksasi
anemometer	NN anemometer
anestesi	NN anestesi
anestesiologi	NN anestesiologi
angan-angan	NN angan-angan
angan	NN angan
anggaran	NN anggaran
anggukan	NN anggukan
angin-anginan	JJ angin-anginan
angin	NN angin
angit	JJ angit
angka	NN angka
angkatan	NN angkatan
angkutan	NN angkutan
anglo	NN anglo
anglung	NN anglung
angsa	NN angsa
angsuran	NN angsuran
animisme	NN animisme
animo	NN animo
ani	NN ani
anjangsana	NN anjangsana
anjar	NN anjar
anjungan	NN anjungan
anjuran	NN anjuran
anoa	NN anoa
anomi	NN anomi
anom	JJ anom
ansambel	NN ansambel
antagonisme	NN antagonisme
antagonis	NN antagonis
antan	NN antan
antariksa	NN antariksa
antariksawan	NN antariksawan
Antartika	NN Antartika
antek	NN antek
antibodi	NN antibodi
anti	JJ anti
antik	JJ antik
antipati	NN antipati
antipiretik	NN antipiretik
antisemitisme	NN antisemitisme
antologi	NN antologi
antrean	NN antrean
antre	VB antre
antusias	JJ antusias
antusiasme	NN antusiasme
anugerah	NN anugerah
anumerta	JJ anumerta
anu	NN anu
anus	NN anus
anutan	NN anutan
anyaman	NN anyaman
anyir	JJ anyir
aorta	NN aorta
apak	JJ apak
apa	PR apa
aparatur	NN aparatur
aparatus	NN aparatus
apartemen	NN apartemen
apartheid	NN apartheid
apatisme	NN apatisme
apel	NN apel
apes	JJ apes
apik	JJ apik
api	NN api
apitan	NN apitan
aplusan	NN aplusan
apnea	NN apnea
apologetik	JJ apologetik
apostolik	JJ apostolik
April	NN April
Arab	NN Arab
arah	NN arah
arakan	NN arakan
arak-arakan	NN arak-arakan
arak	NN arak
aral	NN aral
arang	NN arang
ara	NN ara
aransemen	NN aransemen
arau	JJ arau
arbei	NN arbei
arbitrase	NN arbitrase
arbitrasi	NN arbitrasi
arca	NN arca
ardi	NN ardi
areal	JJ areal
area	NN area
arek	NN arek
arena	NN arena
argometer	NN argometer
argon	NN argon
argot	NN argot
argumentatif	JJ argumentatif
Aries	NN Aries
arif	JJ arif
arik	VB arik
aring	NN aring
ari	NN ari
arip	JJ arip
aris	NN aris
arit	NN arit
aroma	NN aroma
aronan	NN aronan
aron	JJ aron
arsip	NN arsip
artian	NN artian
arti	NN arti
artis	NN artis
artropoda	NN artropoda
arun	JJ arun
arus	NN arus
arwah	NN arwah
asahan	NN asahan
asai	NN asai
asak	JJ asak
asal	NN asal
asaman	NN asaman
asam-asaman	NN asam-asaman
asam	NN asam
asa	NN asa
asan	NN asan
asap	NN asap
asar	NN asar
asasi	JJ asasi
asas	NN asas
asbak	NN asbak
asbes	NN asbes
ase	NN ase
aset	NN aset
asfar	JJ asfar
asian	JJ asian
asih	JJ asih
asinan	NN asinan
asing	JJ asing
asin	JJ asin
asi	NN asi
asiri	JJ asiri
asistensi	NN asistensi
asli	JJ asli
asma	NN asma
as	NN as
asongan	NN asongan
asor	JJ asor
aspal	NN aspal
aspek	NN aspek
asrar	NN asrar
asri	JJ asri
asta	CD asta
asuhan	NN asuhan
asungan	NN asungan
asu	NN asu
aswad	JJ aswad
asyik	JJ asyik
atak	NN atak
atap	NN atap
atar	NN atar
atasan	NN atasan
atase	NN atase
atas-mengatasi	VB atas-mengatasi
atas	NN atas
atau	CC atau
ateis	JJ ateis
atlas	NN atlas
atlet	NN atlet
atma	NN atma
atmosfer	NN atmosfer
atok	NN atok
atom	NN atom
atraktif	JJ atraktif
aturan	NN aturan
audiensi	NN audiensi
audio	JJ audio
audiologi	NN audiologi
audit	NN audit
auditorium	NN auditorium
aula	NN aula
aulia	NN aulia
aum	NN aum
aurat	NN aurat
aus	JJ aus
autentik	JJ autentik
autentisitas	NN autentisitas
autistik	JJ autistik
autobiografi	NN autobiografi
avtur	NN avtur
awah	JJ awah
awak	NN awak
awalan	NN awalan
awal	JJ awal
awam	JJ awam
awang-awang	NN awang-awang
awang	NN awang
awan	NN awan
awas	JJ awas
awet	JJ awet
awuran	JJ awuran
awur-awuran	JJ awur-awuran
awut-awutan	JJ awut-awutan
ayah	NN ayah
ayakan	NN ayakan
ayal	JJ ayal
ayam	NN ayam
ayan	NN ayan
ayat	NN ayat
ayem	JJ ayem
ayo	UH ayo
ayu	JJ ayu
ayunan	NN ayunan
ayun	NN ayun
azan	NN azan
babad	NN babad
babah	NN babah
babak	NN babak
baba	NN baba
babat	NN babat
babe	NN babe
babil	JJ babil
babi	NN babi
bab	NN bab
babon	NN babon
babu	NN babu
babun	NN babun
bacaan	NN bacaan
baceman	NN baceman
bacokan	NN bacokan
bacot	NN bacot
badai	NN badai
badak	NN badak
badani	JJ badani
badan	NN badan
badar	NN badar
badik	NN badik
badi	NN badi
bad	NN bad
badut	NN badut
bafta	NN bafta
bagai	IN bagai
bagaikan	IN bagaikan
bagaimana	PR bagaimana
bagan	NN bagan
bagas	NN bagas
bagea	NN bagea
bagian	NN bagian
bagi	IN bagi
bagor	NN bagor
bagus	JJ bagus
bahak	NN bahak
bahan	NN bahan
bahar	NN bahar
bahasan	NN bahasan
bahna	IN bahna
bahri	NN bahri
bahu	NN bahu
bahwa	CC bahwa
bahwasanya	CC bahwasanya
baiat	NN baiat
baik	JJ baik
bain	JJ bain
bait	NN bait
bajaj	NN bajaj
bajak	NN bajak
baja	NN baja
bajan	NN bajan
baji	NN baji
bajul	NN bajul
baju	NN baju
bakal	NN bakal
baka	NN baka
bakat	NN bakat
bakau	NN bakau
baking	NN baking
baki	NN baki
bakir	NN bakir
bakmi	NN bakmi
bak	NN bak
bakso	NN bakso
bakteriologi	NN bakteriologi
bakti	NN bakti
baku	JJ baku
bakul	NN bakul
bakut	VB bakut
balad	NN balad
balai	NN balai
bala	NN bala
balapan	NN balapan
balap	NN balap
balar	JJ balar
balasan	NN balasan
balet	NN balet
balig	JJ balig
balik	NN balik
bal	NN bal
balok	NN balok
balon	NN balon
balur	NN balur
balutan	NN balutan
bambungan	NN bambungan
bambu	NN bambu
banal	JJ banal
banci	NN banci
bandingan	NN bandingan
bando	NN bando
bangsawan	NN bangsawan
bani	NN bani
banir	NN banir
banji	NN banji
bank	NN bank
ban	NN ban
bantuan	NN bantuan
banyo	NN banyo
bao	NN bao
bapak	NN bapak
barah	NN barah
barai	NN barai
barak	NN barak
barangkali	RB barangkali
bara	NN bara
baran	NN baran
baras	NN baras
barat	NN barat
barbarisme	NN barbarisme
bardi	NN bardi
barel	NN barel
baret	NN baret
barid	NN barid
barik-barik	NN barik-barik
barisan	NN barisan
baris	NN baris
barli	NN barli
bar	NN bar
barok	NN barok
barometer	NN barometer
barongsai	NN barongsai
baron	NN baron
barua	NN barua
baruh	NN baruh
baru	JJ baru
basah	JJ basah
basal	NN basal
basa	NN basa
basi	JJ basi
basil	NN basil
basin	NN basin
basis	NN basis
bass	NN bass
batal	VB batal
bata	NN bata
batasan	NN batasan
batas	NN batas
batih	NN batih
batik	NN batik
batil	JJ batil
batin	NN batin
batis	NN batis
batok	NN batok
batuan	NN batuan
batuk	NN batuk
batu	NN batu
bau-bauan	NN bau-bauan
bauk	NN bauk
baung	NN baung
bau	NN bau
baun	NN baun
bauran	NN bauran
baut	NN baut
bawaan	NN bawaan
bawahan	NN bawahan
bawah	NN bawah
bawal	NN bawal
bawel	JJ bawel
bawon	NN bawon
bayak	JJ bayak
bayam	NN bayam
bayangkara	NN bayangkara
bayangkari	NN bayangkari
baya	NN baya
bayan	NN bayan
bayaran	NN bayaran
bayi	NN bayi
bayuan	NN bayuan
bayu	NN bayu
bayur	NN bayur
bazar	NN bazar
bea	NN bea
beasiswa	NN beasiswa
bebal	JJ bebal
beban	NN beban
bebas	JJ bebas
bebat	NN bebat
bebek	NN bebek
beberan	NN beberan
beberapa	DT beberapa
bebodoran	NN bebodoran
becak	NN becak
becek	JJ becek
becus	JJ becus
bedah	NN bedah
bedak	NN bedak
beda	NN beda
bedan	NN bedan
bedengan	NN bedengan
bedil	NN bedil
beduk	NN beduk
begadang	VB begadang
bego	JJ bego
begundal	NN begundal
begu	NN begu
beha	NN beha
bejat	JJ bejat
beka	CC beka
bekal-bekalan	NN bekal-bekalan
bekal	NN bekal
bekas	NN bekas
bekel	NN bekel
beken	JJ beken
bekerja	VB bekerja
beker	NN beker
bekuan	NN bekuan
beku	JJ beku
belahan	NN belahan
belah	NN belah
belaian	NN belaian
belajar	VB belajar
belak	NN belak
belangkon	NN belangkon
belanjaan	NN belanjaan
belantara	JJ belantara
belantika	NN belantika
belasan	CD belasan
belas	CD belas
belasting	NN belasting
belau-belauan	JJ belau-belauan
belau	NN belau
belek	NN belek
belel	JJ belel
belia	JJ belia
belian	NN belian
belit	NN belit
bel	NN bel
belokan	NN belokan
belok	JJ belok
belo	NN belo
belum	RB belum
belut	NN belut
bemo	NN bemo
benahan	NN benahan
benak	NN benak
bena	NN bena
benar	JJ benar
benci	VB benci
benda	NN benda
bende	NN bende
bendi	NN bendi
bendo	NN bendo
benih	NN benih
benua	NN benua
benur	NN benur
be;ol	NN be;ol
beol	VB beol
beo	NN beo
bepergian	VB bepergian
berabad-abad	RB berabad-abad
berabarkan	VB berabarkan
berabjad	VB berabjad
berabu	VB berabu
beracah-acah	VB beracah-acah
berada-ada	VB berada-ada
beradab	VB beradab
beradat	VB beradat
berada	VB berada
beradik	VB beradik
beradu	VB beradu
beragah-agahan	VB beragah-agahan
beragah	VB beragah
beragama	VB beragama
beragam	VB beragam
beragan	VB beragan
beraga	VB beraga
beragi	VB beragi
berahasia	VB berahasia
berair	VB berair
berakad	VB berakad
berakal	VB berakal
berakar	VB berakar
berakhir	VB berakhir
berakit	VB berakit
beraksi	VB beraksi
beraku	VB beraku
berak	VB berak
beralamat	VB beralamat
beralasan	VB beralasan
beralaskan	VB beralaskan
beralas	VB beralas
beralih	VB beralih
beraliran	VB beraliran
beralun	VB beralun
beralur	VB beralur
beramai-ramai	RB beramai-ramai
beramal	VB beramal
berambai-ambai	VB berambai-ambai
berambang	NN berambang
berambisi	VB berambisi
beranak	VB beranak
beraneka	VB beraneka
berangan-angan	VB berangan-angan
berangin-angin	VB berangin-angin
berangin	VB berangin
berangka-angkaan	VB berangka-angkaan
berangka-angka	VB berangka-angka
berangkai-rangkai	VB berangkai-rangkai
berangkai	VB berangkai
berangkap-rangkap	CD berangkap-rangkap
berangkulan	VB berangkulan
beranja-anja	VB beranja-anja
beranjak	VB beranjak
beranjangsana	VB beranjangsana
bera	NN bera
berantakan	JJ berantakan
berantukan	VB berantukan
berantuk	VB berantuk
berapat	VB berapat
berapi-api	VB berapi-api
berapit	VB berapit
berapi	VB berapi
berapungan	VB berapungan
berarah	VB berarah
berarakan	VB berarakan
berarak-arakan	VB berarak-arakan
berarak	VB berarak
berariskan	VB berariskan
beraris	VB beraris
berarti	VB berarti
berasak-asakan	VB berasak-asakan
berasak	VB berasak
berasal	VB berasal
berasap	VB berasap
berasaskan	VB berasaskan
berasas	VB berasas
berasa	VB berasa
berasio	VB berasio
beras	NN beras
beraspal	VB beraspal
beratapkan	VB beratapkan
beratap	VB beratap
berat	NN berat
beraturan	VB beraturan
beratus-ratus	CD beratus-ratus
berawai	VB berawai
berawak	VB berawak
berawalan	VB berawalan
berawal	VB berawal
berawan	VB berawan
berawa-rawa	VB berawa-rawa
berawa	VB berawa
berayah	VB berayah
berayal-ayalan	VB berayal-ayalan
berayun-ayun	VB berayun-ayun
berayun	VB berayun
berbabil	VB berbabil
berbadai	VB berbadai
berbadan	VB berbadan
berbadi	VB berbadi
berbagai-bagai	DT berbagai-bagai
berbagai	DT berbagai
berbahaya	VB berbahaya
berbaikan	VB berbaikan
berbaik	VB berbaik
berbait-bait	VB berbait-bait
berbait	VB berbait
berbaja	VB berbaja
berbaju	VB berbaju
berbakak	VB berbakak
berbakat	VB berbakat
berbakti	VB berbakti
berbalah	VB berbalah
berbalapan	VB berbalapan
berbalas-balasan	VB berbalas-balasan
berbalas	VB berbalas
berbalik	VB berbalik
berbalun-balun	VB berbalun-balun
berbangga	VB berbangga
berbapak	VB berbapak
berbarik-barik	VB berbarik-barik
berbaring	VB berbaring
berbaris	VB berbaris
berbasah-basah	VB berbasah-basah
berbatasan	VB berbatasan
berbatas	VB berbatas
berbatin	VB berbatin
berbatu-batu	VB berbatu-batu
berbatu	VB berbatu
berbaur	VB berbaur
berbau	VB berbau
berbecak-becakan	VB berbecak-becakan
berbecak	VB berbecak
berbedaan	VB berbedaan
berbeda-beda	VB berbeda-beda
berbedak	VB berbedak
berbeda	VB berbeda
berbedil-bedilan	VB berbedil-bedilan
berbedil	VB berbedil
berbega-bega	VB berbega-bega
berbega	VB berbega
berbeka-beka	VB berbeka-beka
berbekal	VB berbekal
berbekas	VB berbekas
berbeka	VB berbeka
berbelah-belah	VB berbelah-belah
berbelah	VB berbelah
berbeli-belian	VB berbeli-belian
berbelit-belit	VB berbelit-belit
berbelit	VB berbelit
berbelok-belok	VB berbelok-belok
berbelok	VB berbelok
berbelut	VB berbelut
berbenah	VB berbenah
berbenak	VB berbenak
berbenam	VB berbenam
berbenda	VB berbenda
berbendi	VB berbendi
berbenih	VB berbenih
berberaian	VB berberaian
berberat	VB berberat
berbesan	VB berbesan
berbetulan	VB berbetulan
berbiak	VB berbiak
berbidai-bidai	VB berbidai-bidai
berbidan	VB berbidan
berbiduk-biduk	VB berbiduk-biduk
berbiduk	VB berbiduk
berbiji	VB berbiji
berbilik-bilik	VB berbilik-bilik
berbinar-binar	VB berbinar-binar
berbinikan	VB berbinikan
berbini	VB berbini
berbiola	VB berbiola
berbisa	VB berbisa
berbisik-bisik	VB berbisik-bisik
berbisul	VB berbisul
berbobot	VB berbobot
berborok	VB berborok
berbuah	VB berbuah
berbuat	VB berbuat
berbudi	VB berbudi
berbugil	VB berbugil
berbuih	VB berbuih
berbuka	VB berbuka
berbukit-bukit	VB berbukit-bukit
berbukit	VB berbukit
berbukti	VB berbukti
berbulan-bulan	RB berbulan-bulan
berbulan	VB berbulan
berbulu	VB berbulu
berbunga-bunga	VB berbunga-bunga
berbunga	VB berbunga
berbunuhan	VB berbunuhan
berbunyi	VB berbunyi
berburu	VB berburu
berbusa	VB berbusa
bercabul	VB bercabul
bercacah	VB bercacah
bercacar	VB bercacar
bercacat	VB bercacat
bercaci-cacian	VB bercaci-cacian
bercadar	VB bercadar
bercadik	VB bercadik
bercagak	VB bercagak
bercakak	VB bercakak
bercakap-cakap	VB bercakap-cakap
bercakap	VB bercakap
bercakar-cakaran	VB bercakar-cakaran
bercakar	VB bercakar
bercanda	VB bercanda
bercap	VB bercap
bercaran	VB bercaran
bercari-carian	VB bercari-carian
bercarik-carik	VB bercarik-carik
bercatur	VB bercatur
bercatut	VB bercatut
bercat	VB bercat
bercawat	VB bercawat
bercebok	VB bercebok
berceceran	VB berceceran
bercelah	VB bercelah
bercelak	VB bercelak
bercela	VB bercela
bercemas	VB bercemas
bercendawan	VB bercendawan
bercepat-cepat	VB bercepat-cepat
bercerai	VB bercerai
bercetak	VB bercetak
bercinta-cintaan	VB bercinta-cintaan
bercintakan	VB bercintakan
bercinta	VB bercinta
berciri	VB berciri
berciuman	VB berciuman
bercokol	VB bercokol
berconteng-conteng	VB berconteng-conteng
bercorak	VB bercorak
bercucuran	VB bercucuran
bercucu	VB bercucu
bercukai	VB bercukai
bercukur	VB bercukur
bercumbu-cumbuan	VB bercumbu-cumbuan
bercumbu-cumbu	VB bercumbu-cumbu
bercumbu	VB bercumbu
bercura	VB bercura
bercuti	VB bercuti
berdada-dadaan	VB berdada-dadaan
berdahak	VB berdahak
berdahan	VB berdahan
berdakwa	VB berdakwa
berdalih-dalihan	VB berdalih-dalihan
berdalih	VB berdalih
berdalil	VB berdalil
berdamai	VB berdamai
berdamar	VB berdamar
berdampak	VB berdampak
berdampingan	RB berdampingan
berdamping	RB berdamping
berdana	VB berdana
berdangdut	VB berdangdut
berdansa	VB berdansa
berdarah	VB berdarah
berdasarkan	VB berdasarkan
berdasar	VB berdasar
berdasi	VB berdasi
berdaulat	VB berdaulat
berdaun	VB berdaun
berdayaguna	VB berdayaguna
berdaya	VB berdaya
berdebar-debar	VB berdebar-debar
berdebar	VB berdebar
berdebat	VB berdebat
berdebur	VB berdebur
berdebu	VB berdebu
berdekam	VB berdekam
berdekap-dekapan	VB berdekap-dekapan
berdekap	VB berdekap
berdekat-dekatan	RB berdekat-dekatan
berdempetan	VB berdempetan
berdendang	VB berdendang
berdenging	VB berdenging
berdengkur	VB berdengkur
berdengung	VB berdengung
berdentang-dentang	VB berdentang-dentang
berdentang	VB berdentang
berdenting	VB berdenting
berdepak-depak	VB berdepak-depak
berderai-derai	VB berderai-derai
berderai	VB berderai
berderak-derakan	VB berderak-derakan
berderak	VB berderak
berderam-deram	VB berderam-deram
berderam	VB berderam
berderap	VB berderap
berderau	VB berderau
berderet-deret	VB berderet-deret
berderet	VB berderet
berderik-derik	VB berderik-derik
berderik	VB berderik
berdering	VB berdering
berderma	VB berderma
berderum	VB berderum
berdesah	VB berdesah
berdesak-desakan	RB berdesak-desakan
berdesir	VB berdesir
berdetak	VB berdetak
berdetik	VB berdetik
berdiam	VB berdiam
berdiang	VB berdiang
berdikari	JJ berdikari
berdinas	VB berdinas
berdinding	VB berdinding
berdiri	VB berdiri
berdisiplin	VB berdisiplin
berdiskusi	VB berdiskusi
berdoa	VB berdoa
berdomisili	VB berdomisili
berdosa	VB berdosa
berdos-dos	CD berdos-dos
berdua	CD berdua
berduel	VB berduel
berduet	VB berduet
berduhaka	VB berduhaka
berduka	VB berduka
berdukun	VB berdukun
berduri-duri	VB berduri-duri
berduri	VB berduri
berdusta	VB berdusta
berduyun-duyun	RB berduyun-duyun
berebab	VB berebab
berebut-rebutan	VB berebut-rebutan
berebut	VB berebut
beredar	VB beredar
beregu	VB beregu
berehat-rehat	VB berehat-rehat
berekonomi	VB berekonomi
berekor	VB berekor
berekreasi	VB berekreasi
berekskursi	VB berekskursi
beremas	VB beremas
berembun	VB berembun
berembus	VB berembus
beremigrasi	VB beremigrasi
berencana	VB berencana
berenceng	VB berenceng
berenda	VB berenda
berendeng	VB berendeng
berenteng-renteng	VB berenteng-renteng
beres	JJ beres
berevolusi	VB berevolusi
berfaedah	VB berfaedah
berfalsafah	VB berfalsafah
berfantasi	VB berfantasi
berfatwa	VB berfatwa
berfluktuasi	VB berfluktuasi
berfokus	VB berfokus
berfoto	VB berfoto
berfoya-foya	VB berfoya-foya
berfusi	VB berfusi
bergabung	VB bergabung
bergadai	VB bergadai
bergaduh	VB bergaduh
bergagah-gagahan	VB bergagah-gagahan
bergairah	VB bergairah
bergajih	VB bergajih
bergalat	VB bergalat
bergalau	VB bergalau
bergalur-galur	VB bergalur-galur
bergamat	VB bergamat
bergamitan	VB bergamitan
berganda-ganda	RB berganda-ganda
berganda	VB berganda
berganduh	VB berganduh
bergantian	RB bergantian
berganti	VB berganti
bergantung	VB bergantung
bergapaian	VB bergapaian
bergarah-garah	VB bergarah-garah
bergaram	VB bergaram
bergaris	VB bergaris
bergaruk-garuk	VB bergaruk-garuk
bergaul	VB bergaul
bergaung	VB bergaung
bergaun	VB bergaun
bergaya	VB bergaya
bergayuh	VB bergayuh
bergayutan	VB bergayutan
bergayut	VB bergayut
bergegas-gegas	RB bergegas-gegas
bergegas	VB bergegas
bergelandangan	VB bergelandangan
bergelantungan	VB bergelantungan
bergelantung	VB bergelantung
bergelar	VB bergelar
bergelembung	VB bergelembung
bergelimpangan	VB bergelimpangan
bergelindingan	VB bergelindingan
bergelombang	VB bergelombang
bergelut	VB bergelut
bergema	VB bergema
bergembar-gembor	VB bergembar-gembor
bergeming	VB bergeming
bergempa	VB bergempa
bergemuruh	VB bergemuruh
bergepok-gepok	VB bergepok-gepok
bergerak	VB bergerak
bergerek-gerek	VB bergerek-gerek
bergerigi	VB bergerigi
bergerilya	VB bergerilya
bergesa-gesa	JJ bergesa-gesa
bergesekan	VB bergesekan
bergesek	VB bergesek
bergeser	VB bergeser
bergetah	VB bergetah
bergetar	VB bergetar
bergiat	VB bergiat
bergigitan	VB bergigitan
bergigi	VB bergigi
bergiliran	VB bergiliran
bergilir-gilir	VB bergilir-gilir
bergilir	VB bergilir
bergincu	VB bergincu
bergizi	VB bergizi
bergolak	VB bergolak
bergolekan	VB bergolekan
bergolek	VB bergolek
bergores-gores	VB bergores-gores
bergoyang	VB bergoyang
berguam	VB berguam
berguguran	VB berguguran
bergugus-gugus	VB bergugus-gugus
bergulat	VB bergulat
bergula	VB bergula
bergulir	VB bergulir
bergumam	VB bergumam
bergumul	VB bergumul
berguna	VB berguna
bergundu	VB bergundu
bergurah	VB bergurah
bergurau	VB bergurau
berguru	VB berguru
bergusti	VB bergusti
berhadapan	VB berhadapan
berhajat	VB berhajat
berhaji	VB berhaji
berhakim	VB berhakim
berhak	VB berhak
berhalalbihalal	VB berhalalbihalal
berhala	VB berhala
berhaluan	VB berhaluan
berhamba	VB berhamba
berhantu	VB berhantu
berharapan	VB berharapan
berharap	VB berharap
berharga	VB berharga
berhari-hari	RB berhari-hari
berharta	VB berharta
berhasil	VB berhasil
berhasrat	VB berhasrat
berhati-hati	VB berhati-hati
berhawa	VB berhawa
berhelai	NN berhelai
berhelat	VB berhelat
berhemat	VB berhemat
berhenti	VB berhenti
berhiaskan	VB berhiaskan
berhias	VB berhias
berhimpun	VB berhimpun
berhujan-hujan	VB berhujan-hujan
berhujan	VB berhujan
berhukum	VB berhukum
berhulu	VB berhulu
berhuma	VB berhuma
berhura-hura	VB berhura-hura
berhuruf	VB berhuruf
beria-ia	VB beria-ia
beriak-riak	VB beriak-riak
beriak	VB beriak
beria-ria	VB beria-ria
berias	VB berias
beria	VB beria
beriba-iba	VB beriba-iba
beribu-ribu	CD beribu-ribu
beribu	VB beribu
berihat	VB berihat
beriklim	VB beriklim
berik	NN berik
berikrar	VB berikrar
berilmu	VB berilmu
berimankan	VB berimankan
beriman	VB beriman
berimprovisasi	VB berimprovisasi
berinduk	VB berinduk
berinfiltrasi	VB berinfiltrasi
beringgit-ringgit	VB beringgit-ringgit
beringsut	VB beringsut
berinteraksi	VB berinteraksi
berirama	VB berirama
beriring-iringan	VB beriring-iringan
beriring	VB beriring
berisi	VB berisi
beristigfar	VB beristigfar
beristirahat	VB beristirahat
beristri	VB beristri
beriwayat	VB beriwayat
berjabatan	VB berjabatan
berjabat	VB berjabat
berjabir-jabir	JJ berjabir-jabir
berjaga-jaga	VB berjaga-jaga
berjaga	VB berjaga
berjajan	VB berjajan
berjajar	VB berjajar
berjaja	VB berjaja
berjalan-jalan	VB berjalan-jalan
berjalan	VB berjalan
berjalaran	VB berjalaran
berjalar-jalar	VB berjalar-jalar
berjam-jam	RB berjam-jam
berjampi	VB berjampi
berjanji	VB berjanji
berjarak	VB berjarak
berjasad	VB berjasad
berjasa	VB berjasa
berjatuhan	VB berjatuhan
berjauhan	VB berjauhan
berjauh-jauhan	VB berjauh-jauhan
berjawab	VB berjawab
berjaya	VB berjaya
berjeda	VB berjeda
berjejak	VB berjejak
berjejal-jejal	VB berjejal-jejal
berjejal	VB berjejal
berjejer	VB berjejer
berjela-jela	VB berjela-jela
berjemur	VB berjemur
berjenis-jenis	DT berjenis-jenis
berjerih	VB berjerih
berjibaku	VB berjibaku
berjihad	VB berjihad
berjilid-jilid	VB berjilid-jilid
berjilid	VB berjilid
berjiran	VB berjiran
berjiwa	VB berjiwa
berjodoh	VB berjodoh
berjogar	VB berjogar
berjoget	VB berjoget
berjolak	VB berjolak
berjongkok	VB berjongkok
berjotos	VB berjotos
berjualan	VB berjualan
berjuang	VB berjuang
berjubah	VB berjubah
berjubel	VB berjubel
berjudi	VB berjudi
berjumat	VB berjumat
berjumpa	VB berjumpa
berjungkir	VB berjungkir
berjuntai	VB berjuntai
berjuta-juta	CD berjuta-juta
berkabilan	VB berkabilan
berkabung	VB berkabung
berkabut	VB berkabut
berkaca-kaca	VB berkaca-kaca
berkacak-kacak	VB berkacak-kacak
